GeneID	SRR6451292	SRR6451294	SRR6451295	SRR6451288	SRR6451289	SRR6451296	SRR10063894	SRR10063893	SRR10063892	SRR6451293	SRR6451290	SRR6451291	SRR10063891	SRR10063890	SRR10063888	SRR10063887	SRR10063886	SRR10063885	SRR10063884	SRR10063883	SRR10063882	SRR10063881	SRR10063880	SRR10063879	SRR6451300	SRR6451301	SRR6451298	SRR6451297	SRR6451302	SRR6451303	SRR1019853	SRR1019854	SRR1019855	SRR1585195	SRR1687186	SRR1687187	SRR1747132	SRR1747133	SRR1747134	SRR1747135	SRR1747136	SRR1996221	SRR5192077	SRR5498790	SRR5498791	SRR7814089	SRR7814090	SRR7814091	SRR7814092	SRR7814093	SRR7814094	SRR8351347	SRR8351348	SRR8351349	SRR8351350	SRR8351351	SRR8351352	SRR8351353	SRR8351354	SRR8351355	SRR8351356	SRR8351357	SRR8351358	SRR8351359	SRR8351360	SRR8351361	SRR8361922	SRR8361923	SRR8361924	SRR8948279	SRR8948280	SRR8948281	SRR8948282	SRR8948283	SRR8948284	SRR9903553	SRR9903554	SRR9903555	SRR9903556	SRR9903557	SRR9903558
miRN1a-Novel-5p-mature	2.642870804	0	0	0.632286256	0	0.409208635	0.931326238	0.310445241	0.218859873	0.701504896	0.429390804	0	0	0	0	0.409367239	0	0.503979117	0.259142818	0	4.268444316	1.016976732	0	1.203010992	0	0.884959198	0.571793081	1.203963332	0	1.302960932	0.44034179	1.09554928	0.368988059	0.495615586	0.368988059	0.44034179	0	0	1.062322194	0.598661871	0	0	0.398083847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.789972095	3.617749722	2.251726849	1.04312806	1.13732608	0.969945401	0.770549761	1.44504689	0.229406584	4.085965921	1.691390282	0.770549761	4.612984771	1.13732608	1.04312806
miRN1a-Novel-3p-star	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817361677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miRN1b-Novel-5p-mature	2.642870804	0	0	0.632286256	0	0.409208635	0.931326238	0.310445241	0.218859873	0.701504896	0.429390804	0	0	0	0	0.409367239	0	0.503979117	0.259142818	0	4.268444316	1.016976732	0	1.203010992	0	0.884959198	0.571793081	1.203963332	0	1.302960932	0.44034179	1.09554928	0.368988059	0.495615586	0.368988059	0.44034179	0	0	1.062322194	0.598661871	0	0	0.398083847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.789972095	3.617749722	2.251726849	1.04312806	1.13732608	0.969945401	0.770549761	1.44504689	0.229406584	4.085965921	1.691390282	0.770549761	4.612984771	1.13732608	1.04312806
miRN1b-Novel-3p-star	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.817361677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miRN2-Novel-5p-mature	188.1486451	72.5637662	49.88469832	18.54706351	15.13595111	11.45784177	44.70365944	72.02329581	106.8036181	39.2842742	34.35126435	36.95496753	56.49642069	65.82393742	42.16867063	170.2967716	54.26708087	118.9390715	126.4616951	152.0065615	210.8793128	116.6133319	163.4499119	168.4215389	39.50684174	208.8503707	61.75365279	206.1185224	155.5290214	193.8805867	79.26152216	87.64394239	78.22546853	15.85969876	78.22546853	79.26152216	1669.165231	1115.111989	994.3335734	1082.380663	906.1123363	34.87081062	3176.709101	36.21994198	84.81469262	14.28319687	3.747347112	0	5.272237242	9.185954492	5.46606693	25.71558435	15.08222073	32.24705544	72.36619611	84.19156106	19.11015475	0	60.31410165	24.91425049	91.25919436	184.1552797	22.0238953	7.799685361	8.87042264	61.63164694	7019.294207	5582.911371	1908.177667	55.63349654	165.0747568	54.31694246	57.94534201	86.70281339	77.08061219	126.0812341	60.89005016	57.94534201	110.7116345	165.0747568	55.63349654
miRN2-Novel-3p-star	57.72742521	66.25387349	72.5595612	5.058290048	20.18126815	6.547338155	52.15426935	67.05617196	59.52988549	47.70233295	24.04588504	34.11227772	82.17661192	76.79459366	65.78312619	94.97319955	63.31159434	92.73215748	62.19427626	113.4696868	40.86808387	70.51038672	47.21886343	57.74452762	56.43834534	42.47804151	77.76385906	48.15853327	44.77350615	47.94896229	1109.66131	1031.277056	826.5332524	11.89477407	826.5332524	1109.66131	82.93988724	137.7229946	169.971551	110.1537843	157.7807551	41.84497274	4.777006167	43.46393037	59.37028483	12.49779726	3.747347112	8.673811767	21.08894897	22.96488623	21.86426772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	643.0881562	570.1573562	315.2417589	25.03507344	32.49503086	24.57195016	23.42471273	26.97420861	20.18777938	11.67418835	16.91390282	23.42471273	22.71007887	32.49503086	25.03507344
miRN3a-Novel-3p-mature	5.701474095	26.81704403	25.69817792	32.5978692	36.15810544	31.64546775	22.35182972	15.72922552	11.08890024	47.70233295	26.33596933	46.43060023	22.82683664	16.45598436	16.30521931	6.004052845	29.14343232	9.407610179	19.34933039	15.70020823	14.16760241	27.11937951	52.06182378	46.51642503	40.44748083	55.45744308	33.54519411	10.91593421	44.77350615	65.32177471	11.15532534	7.303661866	11.31563381	2.643283127	11.31563381	11.15532534	3.455828635	1.480892415	1.416429592	1.596431656	1.502673858	2.324720708	0	2.414662798	0	35.70799218	36.84891327	36.6227608	179.2560662	267.9236727	250.5280676	0	0	1.79150308	0	0	0	0	0	1.18639288	0	0	0	0	0	0.893212274	0.433932629	0	0.428900352	15.76282402	8.665341563	0	8.63015732	0	3.670505342	0	0	8.63015732	0	8.665341563	15.76282402
miRN3a-Novel-5p-star	0	0	0	0	0	0.233833506	0	0	0.250125569	0	0	0	0	0	0.481927664	0.233924137	0	0	0.29616322	0	0	0.774839415	0	0	0	0	0	0	0	0.893458925	0	0	0	0	0	0	0	0.634668178	0	0	0	0	0	0	0	0	0	0	0	0.656139607	0	0	0	0	0	0	0	0	1.013682381	0.508454092	0	0	0	0.557120383	0	0	0.185971127	0	0	0.198691059	0	0	0	0	0	0.667096477	0	0	0	0	0.198691059
miR172a-Known-3p-mature	13573.42811	5329.572006	3761.306254	869.5200593	2749.44552	3053.760357	3733.500624	6321.534345	4441.104546	1691.047703	3753.390899	1416.796601	5635.175562	4154.404673	3100.240665	4204.856536	5326.916954	3359.423996	5037.114434	6782.168817	3448.694126	5290.312958	11890.98109	7384.803276	2640.609083	1555.935262	2786.690761	4337.061189	1435.226522	686.9210033	10882.25472	7707.408294	8807.006995	178.4216111	8807.006995	10882.25472	1119.515686	3369.770691	2397.661191	2112.079081	1908.921735	922.3329409	765.1171545	958.0174653	661.5546024	1994.291363	2086.241821	2130.143607	2258.626435	2806.079448	1980.082745	4.821672066	2.513703454	5.37450924	12.06103268	7.892958849	17.91577008	4.999053513	65.63593415	12.45712524	38.42492394	160.2150934	9.43881227	7.799685361	4.43521132	18.75745776	43.61022922	77.78161902	167.5928126	2681.534533	4324.698667	3643.114927	3226.754178	3426.206176	3435.593	2879.555297	2396.530891	3226.754178	3667.677738	4324.698667	2681.534533
miR172a-Known-5p-star	868.0494309	408.5655532	276.6333271	394.5466238	552.4622156	1247.267919	476.839034	658.14391	516.5093006	328.3042915	377.8639078	210.3590459	297.8902182	177.3589425	239.5180492	237.4329989	250.2315395	153.2096515	317.1908089	218.3756236	1021.702097	471.8772034	1598.176916	1400.304795	256.7944713	771.6844207	205.8455093	2149.796925	827.1316136	308.5411487	2448.300351	5160.767475	3316.464675	63.43879504	3316.464675	2448.300351	96.76320178	235.461894	314.4473694	167.6253239	90.16043147	481.2171866	581.202417	492.5912109	619.1472561	199.9647562	148.0202109	231.3016471	268.8840994	385.8100887	336.1631162	0	10.05481382	0	0	0	0	0	14.19155333	14.23671456	28.81869296	0	3.146270757	7.799685361	13.30563396	2.679636823	1.301797887	0	1.286701057	753.8338781	1918.506622	1070.819723	830.960862	1314.029305	1552.62376	1767.472116	2800.942307	830.960862	3358.252914	1918.506622	753.8338781
