GeneID	SRR6451292	SRR6451294	SRR6451295	SRR6451288	SRR6451289	SRR6451296	SRR10063894	SRR10063893	SRR10063892	SRR6451293	SRR6451290	SRR6451291	SRR10063891	SRR10063890	SRR10063888	SRR10063887	SRR10063886	SRR10063885	SRR10063884	SRR10063883	SRR10063882	SRR10063881	SRR10063880	SRR10063879	SRR6451300	SRR6451301	SRR6451298	SRR6451297	SRR6451302	SRR6451303	SRR1019853	SRR1019854	SRR1019855	SRR1585195	SRR1687186	SRR1687187	SRR1747132	SRR1747133	SRR1747134	SRR1747135	SRR1747136	SRR1996221	SRR5192077	SRR5498790	SRR5498791	SRR7814089	SRR7814090	SRR7814091	SRR7814092	SRR7814093	SRR7814094	SRR8351347	SRR8351348	SRR8351349	SRR8351350	SRR8351351	SRR8351352	SRR8351353	SRR8351354	SRR8351355	SRR8351356	SRR8351357	SRR8351358	SRR8351359	SRR8351360	SRR8351361	SRR8361922	SRR8361923	SRR8361924	SRR8948279	SRR8948280	SRR8948281	SRR8948282	SRR8948283	SRR8948284	SRR9903553	SRR9903554	SRR9903555	SRR9903556	SRR9903557	SRR9903558
PHAS21-1	41.69202932	27.60578062	19.65154782	31.19278863	35.31721926	67.11021609	29.80243963	27.31918117	22.76142681	40.68728399	32.63370113	41.21900224	21.40015935	20.11286977	12.65060119	22.10583093	25.62612152	17.13528997	22.80456796	28.90265607	51.49378568	38.87111063	97.46457707	52.93248365	15.52054497	49.55771509	22.87172325	58.75341059	21.20850291	16.67789993	125.0570683	156.2983639	96.67487149	107.0529666	96.67487149	125.0570683	53.56534384	68.86149732	97.73364183	67.05012955	72.12834518	97.63826974	141.7178496	101.4158375	93.29616188	33.92259257	57.14704346	46.26032943	229.34232	326.1013845	224.1087441	6.428896088	10.05481382	26.8725462	14.47323922	28.94084911	14.33261607	16.66351171	19.51338583	12.45712524	14.40934648	22.09863357	17.30448916	19.4992134	22.1760566	8.03891047	26.03595774	18.08874861	30.88082536	165.5096522	146.8775395	263.8251491	215.1374932	221.5738564	259.688253	431.9449688	317.9813731	215.1374932	393.1682405	146.8775395	165.5096522
PHAS21-2	83.04729574	42.27305496	32.19442924	46.41922987	61.53438684	111.9698841	46.27190366	62.34507498	49.49835368	70.29635811	34.36080637	42.93181831	32.12417376	46.98372182	32.99531141	47.5561454	46.91542275	41.25176758	60.60341148	61.99814476	54.88261129	83.38911184	70.46930647	73.27996774	53.21553665	36.559134	40.66998724	57.09963618	27.61593951	17.87662398	20.08716659	19.37383258	26.43966141	105.2999447	26.43966141	20.08716659	34.32733676	34.34938094	32.52223516	38.16439192	22.939032	428.3151013	336.5366688	444.8863631	254.5939793	50.67371201	68.29036806	57.91455047	192.4482467	158.4756607	131.7982029	1.722025738	7.541110363	1.906671135	9.005571071	3.528862554	0.686005555	5.118078596	9.353819147	5.019354494	5.592198752	22.63209926	3.43842447	0.97496067	0.633601617	10.7919183	39.35908026	40.55086632	30.47388062	266.7811044	403.0178454	406.8019666	323.8913725	437.2790351	579.4676681	501.3193838	688.8501396	323.8913725	770.7922836	403.0178454	266.7811044
PHAS21-3	8.639926128	2.224641662	2.267486287	1.124064455	1.887835661	10.04944458	5.58795743	2.897488912	2.918131642	0.935339862	0.858781609	1.166231717	1.690063867	1.50193508	0.642570219	1.228101718	2.261128369	1.847923428	0.159472503	2.433061741	3.686619618	2.711937951	1.964700961	3.146336441	0.201565519	2.042213534	3.034901739	6.075384197	0.628400086	0	0.88068358	2.312826258	3.074900493	1.224462037	3.074900493	0.88068358	0.863957159	1.452413715	0	0.478929497	2.254010787	3.978848904	19.92971056	4.132788251	2.065998923	0.797053397	3.345845636	1.927513726	3.012706996	5.741221557	2.960786254	0	0	0	1.206103268	0.876995428	0	0	0	1.163577633	0	0	0	0	0	0.669909206	0.325449472	0.737331848	0.965025793	11.28198476	18.54133833	19.04740644	14.24802702	21.5737208	27.74094543	18.22071396	38.47881914	14.24802702	34.09027324	18.54133833	11.28198476
PHAS21-4	9.809589804	3.082958493	5.186148124	5.770557814	4.784734729	7.517447417	3.649911877	7.291710518	5.144249208	7.101901951	1.946571646	5.445104648	3.27843125	2.619316734	2.042168478	3.39764812	6.036853837	3.550929784	9.541012051	8.783660039	10.57175993	11.48773936	12.1251961	11.084887	3.480364629	2.901401942	1.901787978	7.027970569	3.130779001	4.315902972	9.303748968	7.47581961	12.47331388	15.45312234	12.47331388	9.303748968	5.502584285	4.546421083	6.348639777	10.37680576	12.85322818	24.52580347	17.81464322	25.47469252	15.08722898	5.591063895	8.452635568	4.798926687	19.6970204	10.88098181	14.15439215	0	1.005481382	0.831769287	0.689201868	3.38269665	0.686005555	0	0.864229209	0.840361624	0.343079678	0.570004437	0.799052891	3.89984268	0.492801258	2.456333755	6.855460002	9.161432141	5.054897009	36.05949973	69.45618612	48.33008753	41.92052424	53.60241225	61.1118539	63.77017933	64.59429626	41.92052424	71.3156291	69.45618612	36.05949973
PHAS21-5	19.55489444	1.795314712	0.906994515	6.403616092	5.249378243	9.538908093	6.253190458	11.80283238	12.5021097	5.271308221	5.876519866	5.187908903	4.733642086	4.651645313	2.9678712	8.117167547	1.482295264	6.676523346	7.825163855	5.042966486	19.96509099	7.380345423	10.70148792	10.04168992	1.751380399	3.539836792	4.055960813	13.48885824	0.706950097	0.416947498	0.12581194	0.730366187	1.070065371	11.0234902	1.070065371	0.12581194	3.887807215	5.672957099	4.249288775	2.873576981	1.803208629	21.30632075	60.28476794	22.13064989	15.85848346	3.194590015	10.44349951	9.592822776	26.60596865	12.34089243	9.155662107	0.803612011	0	0	0	0.751710367	0	0.833175585	0.886972083	0	3.60233662	0.460388199	0.524378459	0.64997378	0	0	2.234753039	1.046563312	6.222118682	32.1091382	47.14091329	55.17897798	33.12339137	48.57033734	77.57133269	77.67365625	110.9589199	33.12339137	88.91759244	47.14091329	32.1091382
PHAS21-6	3.874143816	1.364543191	1.20932602	2.723077024	2.74558576	4.935195126	1.111450873	3.610716952	4.68696836	0.988787854	1.333156212	2.24187222	2.04051434	3.311512901	2.610441515	3.924727184	1.90939729	4.810877576	4.868088009	7.988454687	5.622239854	2.943893083	2.440938499	1.221518854	0.792824375	9.427408746	1.970905823	3.425782843	0.493742925	2.258465615	11.53771739	12.97965052	7.472647137	5.01238116	7.472647137	11.53771739	4.453493449	5.471978843	0.708214796	4.789294968	16.15374397	8.088623013	10.41920067	8.401567127	8.326130997	2.26600237	7.605879249	5.038542061	15.71773658	1.665585155	5.697005072	0	0.718200987	0	0	1.315493142	1.911015475	0	0.864229209	1.177701357	0.343079678	3.156947653	0	0	2.710406918	0	2.680050571	1.530365557	4.975244086	8.435552011	13.211082	14.47589948	9.301379804	10.23672992	13.21969711	19.30216055	17.69082715	9.301379804	16.60213472	13.211082	8.435552011
PHAS21-7	202.8774613	268.7520732	272.3737697	200.4156649	257.3263712	192.1436443	252.4896703	222.0495187	215.5269374	251.0791579	249.6035551	288.1348478	218.2887639	203.5537977	198.3481422	208.3924258	237.3039208	204.6257521	194.7287438	210.2468567	132.421221	186.9881152	185.3923907	139.114301	245.4188961	148.9998929	253.1197992	154.8776745	132.046294	123.6909698	1365.930013	1329.859489	1414.816335	559.7854746	1414.816335	1365.930013	741.3159726	736.0939161	818.0812878	796.698367	696.8118558	167.2381463	0.751552725	169.9959487	80.77783079	128.2541108	178.1575979	130.3605665	133.8964307	136.4002888	133.8154647	43.51911501	63.53311981	140.4986852	130.6136669	115.5115625	110.5064256	44.22310857	172.9818827	106.9070816	118.2049586	241.0888023	122.3272107	102.1327281	71.87441503	134.0291841	274.6439909	267.7753467	270.4173763	235.8333842	269.1582706	300.8098291	272.9875984	274.2709092	370.2232137	512.0632961	190.8491029	272.9875984	459.1342897	269.1582706	235.8333842
PHAS21-8	3.661916742	2.028179801	0	0.843048341	1.495576122	5.530162406	0	2.838356485	0.600301366	0	0.687025287	0	0.644784022	0.365688541	0.843373413	0.438607757	3.391692554	1.094354653	3.561362724	4.587723185	7.589787005	2.983131746	1.245332662	0.687434853	0.705479317	0.393315199	4.574344651	6.742194658	7.658626052	8.041130322	109.4356733	97.89130671	44.15333478	15.45691276	44.15333478	109.4356733	35.8529754	82.27607471	75.02018159	68.85388999	44.73869895	41.26379257	10.19852904	42.86026467	7.067891052	15.43095376	7.56904635	6.877093616	50.67205794	30.46873737	36.7007351	0	5.027406909	1.074901848	0	15.7859177	0	0	6.031410165	0	0.960623099	0	0.449467251	0	0.633601617	0	3.657432159	7.287181583	5.652293928	3.753053338	6.353083321	11.13286443	5.603731403	5.202168803	20.61746156	14.46950789	32.39146628	5.603731403	8.524472247	6.353083321	3.753053338
PHAS21-9	1800.905617	947.8773416	831.379246	398.7946507	448.3284737	637.204097	1104.218824	1289.04354	1178.512476	658.3957502	622.7707018	707.6774757	823.7165909	852.0441431	571.8633987	847.4434683	820.5393739	713.6296295	1024.955091	1069.001521	1517.902711	1252.694719	1816.124545	1959.670534	875.1829263	1125.707431	793.2430961	1471.43659	637.1696339	380.4811376	7784.786425	7536.941406	6366.655853	1396.971986	6366.655853	7784.786425	873.5484546	1204.080127	1618.694051	1296.549571	1213.765131	2527.353328	1195.831872	2613.363675	2645.090913	888.2731471	1052.725718	1103.750579	2299.364928	2510.530476	1742.928105	55.3216713	31.69061855	114.2595072	166.0574467	150.3775708	116.9435303	55.18796378	178.7206511	103.953439	159.79889	321.5716572	101.7943442	59.17082733	48.74332441	147.2758172	950.5635185	1000.136673	880.080546	1865.536846	3891.772529	3060.500542	2327.881708	3014.048984	3455.413001	4004.526413	5861.095545	2327.881708	5176.819931	3891.772529	1865.536846
PHAS21-10	297.4878316	177.5678813	132.5615674	822.5431065	843.8822395	1615.427377	120.7059281	223.6793348	140.8777949	708.7844522	639.1317926	620.7077807	108.2666486	133.4744047	70.4785742	150.9448657	122.0208843	130.3513987	362.6538078	257.8423233	451.712867	534.1739989	788.8127601	836.8172237	208.1468369	801.2110269	193.6164807	1162.808147	592.938922	388.4048699	6055.315389	5502.099264	6072.124579	4817.537404	6072.124579	6055.315389	5834.365153	5308.027113	6778.173737	5916.963321	5415.212127	3042.296325	4009.824107	3159.095499	2569.851836	2359.430252	2136.478984	3034.625772	6199.786581	6588.310548	4238.49842	141.5556179	131.6242959	319.0283092	460.6376405	290.9768323	432.0835634	89.51215289	488.0064085	287.7977272	524.401793	890.348924	220.2203387	81.45254754	107.9745156	491.1424359	545.6339321	430.6168341	215.1177567	5144.869305	7230.33521	6159.788124	5769.326927	5643.27378	7769.134416	6333.882688	7488.167356	5769.326927	8721.39107	7230.33521	5144.869305
