PHASID	Chr_ID	Start_Pos	End_Pos	Locus_Len	Lib_Num	Pvalue	Phas_Hit	Phase	Average_HitPos	Phas_Ratio	Abudance	Max_Region_Phase_Score	Note	Best_Region
PHAS24-1	Chr1	22185081	22185736	656	13	3.50E-06	10	3	2.19	0.6	62	15.44	Potential PHAS	Chr1:22185082-22185523
PHAS24-2	Chr1	23135482	23136112	631	10	1.52E-05	7	1	2.45	0.69	37.6	11.72	Potential PHAS	Chr1:23135784-23136040
PHAS24-3	Chr1	31363091	31363654	564	4	3.45E-05	8	20	2.26	0.67	246.52	11.09	Potential PHAS	Chr1:31363283-31363522
PHAS24-4	Chr1	32059270	32059822	553	7	4.07E-06	11	8	7.13	0.52	58.5	10.92	Potential PHAS	Chr1:32059396-32059718
PHAS24-5	Chr1	42659361	42659947	587	11	1.98E-06	9	24	3.44	0.45	19.23	11.67	Potential PHAS	Chr1:42659656-42659901
PHAS24-6	Chr1	42667684	42668547	864	12	6.85E-07	8	8	4.15	0.46	19.5	10.67	Potential PHAS	Chr1:42667915-42668098
PHAS24-7	Chr1	101842201	101842581	381	11	4.50E-06	7	7	3.47	0.84	34.46	17.85	Potential PHAS	Chr1:101842276-101842580
PHAS24-8	Chr1	138374008	138374325	318	2	0.000323252	8	12	7.95	0.36	74.9	11.12	Potential PHAS	Chr1:138374008-138374325
PHAS24-9	Chr1	192419831	192420086	256	2	1.54E-06	7	17	2.85	0.53	43.24	13.77	Potential PHAS	Chr1:192419864-192420086
PHAS24-10	Chr10	14009090	14009384	295	5	3.95E-05	9	11	1.96	0.53	274.59	10.14	Potential PHAS	Chr10:14009101-14009384
PHAS24-11	Chr10	161682591	161682804	214	1	6.94E-07	9	7	3.11	0.35	73.32	10.36	Potential PHAS	Chr10:161682591-161682804
PHAS24-12	Chr11	12638036	12638690	655	6	7.26E-06	10	5	6.45	0.42	163.68	10.12	Potential PHAS	Chr11:12638352-12638477
PHAS24-13	Chr11	12795343	12795467	125	1	0.000283509	6	8	5.91	0.64	59.48	19.61	Potential PHAS	Chr11:12795343-12795467
PHAS24-14	Chr11	12797960	12798156	197	1	0.000690331	8	15	4.95	0.7	172.67	16.74	Potential PHAS	Chr11:12797960-12798156
PHAS24-15	Chr11	96640644	96640894	251	1	4.12E-05	6	15	2.11	0.66	51.63	11.21	Potential PHAS	Chr11:96640644-96640894
PHAS24-16	Chr12	10556202	10556465	264	6	4.38E-05	10	1	6.67	0.62	87.26	10.68	Potential PHAS	Chr12:10556250-10556464
PHAS24-17	Chr12	21548283	21548924	642	2	0.000136662	8	17	3.22	0.35	112.48	10.81	Potential PHAS	Chr12:21548656-21548924
PHAS24-18	Chr12	68417568	68418152	585	6	0.000161302	9	2	3.41	0.63	59.99	11.57	Potential PHAS	Chr12:68417665-68418152
PHAS24-19	Chr12	147181617	147181869	253	2	0.000928417	8	21	7.03	0.79	104.39	15.95	Potential PHAS	Chr12:147181700-147181869
PHAS24-20	Chr12	147777338	147777931	594	1	0.000964148	11	15	6.7	0.69	128.14	15.95	Potential PHAS	Chr12:147777338-147777931
PHAS24-21	Chr13	64131199	64131609	411	1	0.000804357	9	12	1.21	0.47	240.23	10.76	Potential PHAS	Chr13:64131199-64131609
PHAS24-22	Chr13	71728351	71728478	128	1	0.000307628	5	10	3.48	0.81	118.24	10.16	Potential PHAS	Chr13:71728351-71728478
PHAS24-23	Chr13	76239147	76239732	586	13	4.59E-06	9	4	3.82	0.66	31.63	14.39	Potential PHAS	Chr13:76239323-76239728
PHAS24-24	Chr13	77523437	77523697	261	2	6.30E-05	9	24	3.61	0.38	65.02	10.28	Potential PHAS	Chr13:77523437-77523675
PHAS24-25	Chr13	77523882	77524511	630	4	9.53E-05	11	23	4.29	0.41	193.45	10.4	Potential PHAS	Chr13:77523890-77524320
PHAS24-26	Chr13	77526396	77526800	405	2	0.000326877	9	2	3.87	0.47	89.76	12.66	Potential PHAS	Chr13:77526396-77526743
PHAS24-27	Chr13	122438088	122438439	352	3	0.000341954	6	11	1.98	0.71	49.27	10.89	Potential PHAS	Chr13:122438182-122438439
PHAS24-28	Chr15	44496081	44496643	563	5	5.78E-05	8	18	1.44	0.91	433.4	10.92	Potential PHAS	Chr15:44496248-44496642
PHAS24-29	Chr15	53817811	53817991	181	1	0.000398355	7	7	5.23	0.4	42.52	10.12	Potential PHAS	Chr15:53817811-53817991
PHAS24-30	Chr15	83371177	83371514	338	4	3.27E-07	7	2	12.2	0.82	6.45	12.89	Potential Repeat	Chr15:83371358-83371514
PHAS24-31	Chr15	88748306	88748784	479	4	1.19E-05	16	10	4.43	0.44	320.21	13.09	Potential PHAS	Chr15:88748425-88748784
PHAS24-32	Chr15	88750047	88750753	707	6	1.35E-05	15	5	4.5	0.43	213.39	13.19	Potential PHAS	Chr15:88750047-88750368
PHAS24-33	Chr15	117173532	117173940	409	2	0.000317364	7	7	2.08	0.59	102.81	11.92	Potential PHAS	Chr15:117173786-117173940
PHAS24-34	Chr2	17600922	17601476	555	4	1.53E-05	13	17	2.84	0.84	850.41	13.3	Potential PHAS	Chr2:17600922-17601111
PHAS24-35	Chr2	62656285	62657016	732	3	7.73E-05	12	1	4.69	0.62	123.8	10.44	Potential PHAS	Chr2:62656285-62656778
PHAS24-36	Chr2	67501152	67501353	202	3	4.57E-05	10	3	3.53	0.5	143.49	10.23	Potential PHAS	Chr2:67501154-67501353
PHAS24-37	Chr2	88536827	88537084	258	6	0.000152131	8	12	1.29	0.69	144.41	10.76	Potential PHAS	Chr2:88536853-88537084
